id;name;molweight;critical temperature (K);acentric factor;boiling point (K)
201;1,1,2,3,3,4,4,4-octafluoro-1-butene;200.0312256;392;0.291;277
202;1,1,2,3,3-pentafluoropropane;134.048836;441.38;0.37;300
203;1,1,2,3-tetrabromopropane;359.68076;798.18;0.625;538.15
204;1,1,2,3-tetrachloropropane;181.87556;677.77;0.342;451.15
205;1,1,2,3-tetrafluoropropane;116.0583728;449.44;0.338;300
206;1,1,2,3-tetraiodopropane;547.68264;978.29;0.3;639.72
207;1,1,2-tribromo-2-methylpropane;294.81158;758.11;0.462;503.15
208;1,1,2-tribromobutane;294.81158;725.15;0.531;489.35
209;1,1,2-tribromoethane;266.75782;709.9;0.476;462.08
210;1,1,2-tribromopropane;280.7847;718.16;0.486;474.15
211;1,1,2-trichloro-1,2,2-trifluoroethane;187.3753096;487.25;0.252;320.75
212;1,1,2-trichloro-1,2-difluoroethane;169.3848464;530;0.288;345.65
213;1,1,2-trichloro-1-fluoroethane;151.3943832;559.78;0.264;361.15
214;1,1,2-trichloro-2-fluoroethane;151.3943832;552.93;0.296;375.15
215;1,1,2-trichloro-2-methylpropane;161.45768;635.65;0.271;417.65
216;1,1,2-trichlorobutane;161.45768;628.34;0.332;420
217;1,1,2-trichloroethane;133.40392;602;0.259;387
218;1,1,2-trichloropropane;147.4308;619.96;0.287;405.15
219;1,1,2-trifluoro-2-methylpropane;112.0947896;432.9;0.269;285.06
220;1,1,2-trifluorobutane;112.0947896;429.75;0.33;287.85
221;1,1,2-trifluoroethane;84.0410296;429.8;0.326;278.15
222;1,1,2-trifluoropropane;98.0679096;404.56;0.285;264.97
223;1,1,2-triiodo-2-methylpropane;435.81299;874.42;0.24;566.67
224;1,1,2-triiodobutane;435.81299;863.14;0.301;569.46
225;1,1,2-triiodoethane;407.75923;825.88;0.242;524.14
226;1,1,2-triiodopropane;421.78611;848.18;0.256;546.58
227;1,1,2-trimethylcyclohexane;126.24192;624.87;0.267;418.35
228;1,1,2-trimethylcyclopentane;112.21504;584.65;0.252;386.88
229;1,1,2-trimethylcyclopropane;84.16128;504.34;0.222;325.59
230;1,1,3,3-tetrabromopropane;359.68076;813.01;0.625;548.15
231;1,1,3,3-tetrachloropropane;181.87556;661.02;0.342;440
232;1,1,3,3-tetrafluoropropane;116.0583728;449.44;0.338;300
233;1,1,3,3-tetraiodopropane;547.68264;978.29;0.3;639.72
234;1,1,3,3-tetramethylcyclopentane;126.24192;586.82;0.258;391.11
235;1,1,3,4-tetramethylcyclohexane;140.2688;667;0.274;433.15
236;1,1,3-tribromo-2-methylpropane;294.81158;723.92;0.531;488.52
237;1,1,3-tribromobutane;294.81158;723.92;0.531;488.52
238;1,1,3-tribromopropane;280.7847;718;0.52;478.15
239;1,1,3-trichloro-2-methylpropane;161.45768;620.86;0.332;415
240;1,1,3-trichlorobutane;161.45768;628.34;0.332;426.15
241;1,1,3-trichloropropane;147.4308;635.01;0.317;418.7
242;1,1,3-trifluoro-2-methylpropane;112.0947896;429.75;0.33;287.85
243;1,1,3-trifluorobutane;112.0947896;429.75;0.33;287.85
244;1,1,3-trifluoropropane;98.0679096;401.66;0.315;265.41
245;1,1,3-triiodo-2-methylpropane;435.81299;863.14;0.301;569.46
246;1,1,3-triiodobutane;435.81299;863.14;0.301;569.46
247;1,1,3-triiodopropane;421.78611;841.02;0.286;547.02
248;1,1,3-trimethylcyclohexane;126.24192;612.06;0.267;409.78
249;1,1,3-trimethylcyclopentane;112.21504;571.3;0.252;378.04
250;1,1,4-tribromobutane;294.81158;718.77;0.565;488.96
251;1,1,4-trichlorobutane;161.45768;623.15;0.362;420
252;1,1,4-trifluorobutane;112.0947896;426.87;0.36;288.29
253;1,1,4-triiodobutane;435.81299;856.37;0.331;569.9
254;1,1,4-trimethylcyclohexane;126.24192;609.63;0.267;408.15
255;1,1,cis-2,cis-3-tetramethylcyclopentane;126.24192;609.74;0.271;411.15
256;1,1,cis-2,cis-4-tetramethylcyclopentane;126.24192;597.88;0.271;403.15
257;1,1,cis-2,trans-3-tetramethylcyclopentane;126.24192;597.88;0.271;403.15
258;1,1,cis-2,trans-4-tetramethylcyclopentane;126.24192;597.88;0.271;403.15
259;1,1,cis-3,cis-4-tetramethylcyclopentane;126.24192;602.33;0.271;406.15
260;1,1,cis-3,trans-4-tetramethylcyclopentane;126.24192;585.42;0.271;394.75
261;1,1-bis(ethylthio)ethane;150.30916;673;0.37;457.15
262;1,1-dibromo-2,2-dimethylpropane;229.9424;665.55;0.48;453.15
263;1,1-dibromo-2-methylbutane;229.9424;659.19;0.448;445.24
264;1,1-dibromo-2-methylpropane;215.91552;635.76;0.403;420.15
265;1,1-dibromo-3-methylbutane;229.9424;659.19;0.448;445.24
266;1,1-dibromobutane;215.91552;646.82;0.435;431.15
267;1,1-dibromodecane;300.0768;741.82;0.701;550.15
268;1,1-dibromodocosane;468.39936;868.14;0.866;707.15
269;1,1-dibromododecane;328.13056;766.37;0.779;583.15
270;1,1-dibromoeicosane;440.3456;847.57;0.905;686.15
271;1,1-dibromoethane;187.86176;628;0.125;381.15
272;1,1-dibromoheneicosane;454.37248;858.13;0.889;697.15
273;1,1-dibromoheptadecane;398.26496;818.59;0.904;652.15
274;1,1-dibromoheptane;257.99616;700.05;0.571;495.15
275;1,1-dibromohexadecane;384.23808;808.08;0.889;639.15
276;1,1-dibromohexane;243.96928;684.21;0.526;475.15
277;1,1-dibromononadecane;426.31872;837.69;0.912;675.15
278;1,1-dibromononane;286.04992;729.44;0.659;533.15
279;1,1-dibromooctadecane;412.29184;828.45;0.911;664.15
280;1,1-dibromooctane;272.02304;716.02;0.616;515.15
281;1,1-dibromopentacosane;510.48;901.35;0.75;736.15
282;1,1-dibromopentadecane;370.2112;798.14;0.869;626.15
283;1,1-dibromopentane;229.9424;665.55;0.48;453.15
284;1,1-dibromopropane;201.88864;624.11;0.39;406.65
285;1,1-dibromotetracosane;496.45312;889.11;0.796;726.15
286;1,1-dibromotetradecane;356.18432;787.47;0.843;612.15
287;1,1-dibromotricosane;482.42624;878.87;0.835;717.15
288;1,1-dibromotridecane;342.15744;777.32;0.813;598.15
289;1,1-dibromoundecane;314.10368;754.56;0.741;567.15
290;1,1-dichloro-1,2,2,2-tetrafluoroethane;170.9210128;418.55;0.253;276.17
291;1,1-dichloro-1,2,2-trifluoroethane;152.9305496;481.32;0.287;303
292;1,1-dichloro-1,2-difluoroethane;134.9400864;488.39;0.264;315.33
293;1,1-dichloro-1-fluoroethane;116.9496232;478.85;0.221;305.15
294;1,1-dichloro-2,2-difluoroethane;134.9400864;515.98;0.112;333.15
295;1,1-dichloro-2,2-dimethylpropane;141.0398;633.42;0.262;418
296;1,1-dichloro-2-butene;124.99704;640;0.302;399.15
297;1,1-dichloro-2-fluoroethane;116.9496232;473.24;0.272;305
298;1,1-dichloro-2-methyl-1-propene;124.99704;640;0.302;381.65
299;1,1-dichloro-2-methylbutane;141.0398;595.96;0.323;400
300;1,1-dichloro-2-methylpropane;127.01292;576.09;0.278;378.15
301;1,1-dichloro-3,3-dimethylbutane;155.06668;633.09;0.397;421.1
302;1,1-dichloro-3-methylbutane;141.0398;600.06;0.323;402.75
